iter	MAE	RMSE
272	0.1442358905	0.2986420824
273	0.1442356244	0.2986379095
274	0.144234664	0.2986358986
275	0.1441694644	0.2985311435
276	0.1441163588	0.2984006355
277	0.143909964	0.298245953
278	0.1438600093	0.2981059674
279	0.1438563784	0.2980959713
280	0.1437116218	0.297932237
281	0.1437089885	0.2979301816
282	0.1436374739	0.2977835361
283	0.143636898	0.297782142
284	0.1436361497	0.2977795256
285	0.143555776	0.2975881209
286	0.143513656	0.2974416232
287	0.1435134277	0.2974403757
288	0.1434890529	0.2973966814
289	0.1434130637	0.2972046929
290	0.1434130296	0.2972046601
291	0.1433444444	0.297140782
292	0.1433444078	0.2971407502
293	0.1433142026	0.2970263106
294	0.1432613632	0.2968656617
295	0.1432355755	0.2968158904
296	0.1431211073	0.2965636631
297	0.1430918602	0.2965187018
298	0.1430914886	0.2965174565
299	0.1430738383	0.2964649721
300	0.1430059425	0.2963001653
301	0.142974365	0.2962167235
302	0.1428997426	0.2960325737
303	0.1428575479	0.2958743428
304	0.1426584711	0.2957406078
305	0.1426053045	0.2955946997
306	0.1425666192	0.2954563401
307	0.1425664269	0.2954550536
308	0.1425663843	0.2954550288
309	0.1425655118	0.2954503077
310	0.1425172283	0.2953233939
311	0.1425164729	0.2953216795
312	0.1424164189	0.2951608153
313	0.1423993528	0.2950974538
314	0.1423990456	0.2950959663
315	0.1423535544	0.2949396642
316	0.1423529557	0.2949363774
317	0.1422935608	0.2948143582
318	0.1422933315	0.2948132734
319	0.1421853139	0.2946873343
320	0.1421316418	0.2945874355
321	0.1421313098	0.2945859577
322	0.1421308253	0.2945839779
323	0.1420735911	0.2944956318
324	0.1419524406	0.2944171089
325	0.1418930995	0.294275731
326	0.1417555835	0.294092387
327	0.1417352073	0.2940213375
328	0.1417347264	0.2940201126
329	0.1417345486	0.2940191084
330	0.1416366789	0.2939360793
331	0.141608976	0.2938613464
332	0.1415693732	0.2937665775
333	0.1415692135	0.2937655637
334	0.1414965343	0.2936073884
335	0.1414708813	0.2935321688
336	0.1414703491	0.2935290488
337	0.1413908089	0.2934187523
338	0.1413412357	0.2933324947
339	0.1413045358	0.2932614698
340	0.1413042498	0.2932604923
341	0.1412555643	0.2931799635
342	0.1412547526	0.2931787343
343	0.1411863218	0.293002776
344	0.1410827997	0.2928294508
345	0.1409867965	0.2926116516
346	0.1409866437	0.2926107265
347	0.1409864811	0.2926097844
348	0.1409853292	0.2926059587
349	0.1409623963	0.2925159279
350	0.1409379407	0.2924184897
351	0.1409365076	0.2924151422
352	0.1409055031	0.2922743384
353	0.1408799582	0.2922133274
354	0.1408160756	0.2920504076
355	0.1407789033	0.2919178342
356	0.1407787571	0.2919165676
357	0.1406852763	0.2917416202
358	0.1406151351	0.2916174886
359	0.1406122109	0.2916093148
360	0.1406101763	0.2916003339
361	0.14054654	0.291480869
362	0.1404683076	0.2913305737
363	0.1404681511	0.2913297022
364	0.1403664191	0.291087741
365	0.1403662119	0.2910868943
366	0.1403485712	0.2910353788
367	0.1403484266	0.2910345589
368	0.1403482223	0.2910337375
369	0.1403480274	0.2910280667
370	0.1403478842	0.2910272717
371	0.140347638	0.2910261807
372	0.1402644608	0.2908519101
373	0.1402434585	0.2908040868
374	0.1401248586	0.2906136904
375	0.1399196278	0.290452285
376	0.1399181101	0.2904484133
377	0.1399166247	0.2904442604
378	0.1397798552	0.2903325639
379	0.1397023699	0.2901488907
380	0.1396311303	0.2899524473
381	0.139552369	0.2898000038
382	0.1394995728	0.2896893698
383	0.1394544339	0.2895822834
384	0.1393793922	0.289386859
385	0.1391098484	0.2892161706
386	0.1390576211	0.2890476832
387	0.1389901505	0.2888366699
388	0.1389822853	0.2888074057
389	0.1389821883	0.288803824
390	0.138971192	0.2887736431
391	0.1389709508	0.2887726038
392	0.1389289377	0.2886575359
393	0.1388065361	0.2884682192
394	0.1387618748	0.2883793898
395	0.1386973208	0.2882537926
396	0.1386971864	0.2882530177
397	0.138691294	0.288223232
398	0.1386905988	0.2882202029
399	0.1386895575	0.2882159906
400	0.1386879592	0.2882093599
401	0.1386874125	0.2882058689
402	0.1386261028	0.2880239964
403	0.1385805286	0.2879077594
404	0.1385799478	0.2879047948
405	0.1385022071	0.2877750829
406	0.1385003163	0.287772045
407	0.1384990323	0.2877698975
408	0.1384937853	0.2877531756
409	0.1384936024	0.2877522827
410	0.138492807	0.2877468535
411	0.1384865802	0.287716152
412	0.138398781	0.287607325
413	0.1383985235	0.2876063884
414	0.1383985508	0.2875936186
415	0.1383782912	0.2875491912
416	0.1383459655	0.2874769659
417	0.1382680703	0.2872565578
418	0.1382501461	0.2872117845
419	0.1382478688	0.2872053442
420	0.1381929529	0.2870467367
421	0.1381864593	0.2870213136
422	0.1381047382	0.2868426427
423	0.1380667332	0.2867034718
424	0.1380649443	0.2866993074
425	0.1380074348	0.2865815218
426	0.1380073109	0.2865807365
427	0.1380042065	0.286573138
428	0.1379859	0.2865022306
429	0.137928442	0.2863461237
430	0.1378070497	0.286146328
431	0.1377739188	0.2860885579
432	0.1377259366	0.2859564706
433	0.1377073847	0.2859094162
434	0.1376433101	0.2857602588
435	0.1376183101	0.2857147365
436	0.137616392	0.2857110303
437	0.1376159219	0.2857084391
438	0.1376131605	0.2856959198
439	0.1374368642	0.2855480749
440	0.1373797886	0.2854942857
441	0.1373491609	0.2854336112
442	0.1373492858	0.2854277495
443	0.1373487461	0.2854252405
444	0.1372811564	0.2853108416
445	0.1372805762	0.2853083564
446	0.1372788811	0.285294924
447	0.1372777565	0.2852887839
448	0.1372617382	0.2852229231
449	0.1372603091	0.2852185492
450	0.1372502813	0.2851653986
451	0.1372494992	0.2851613352
452	0.1372285616	0.2850820294
453	0.1371636438	0.2849249226
454	0.1371565413	0.2849093741
455	0.1371143978	0.2847964296
456	0.1370794848	0.2847151101
457	0.1369926934	0.2845677632
458	0.1369404581	0.2844899628
459	0.1369393681	0.2844831205
460	0.1369388428	0.284480809
461	0.1369192063	0.2844286962
462	0.1369027371	0.2843779069
463	0.1369015826	0.2843721058
464	0.136900267	0.2843667038
465	0.1368282781	0.2841770661
466	0.1367671395	0.2839852099
467	0.1367659578	0.2839796891
468	0.1367647573	0.2839745659
469	0.1366905088	0.2837861651
470	0.1366777308	0.2837200986
471	0.1366764622	0.2837133587
472	0.1366634012	0.2836830004
473	0.1366349469	0.2836175434
474	0.1366343507	0.2836123285
475	0.1366331807	0.2836068488
476	0.1365856217	0.2834213421
477	0.1365844584	0.2834159289
478	0.1365661664	0.2833600876
479	0.1365653518	0.2833560141
480	0.1365386031	0.2832919273
481	0.1362940183	0.283158606
482	0.136154579	0.2829776163
483	0.1361533913	0.2829707812
484	0.1361505098	0.2829635163
485	0.1361086267	0.2828667274
486	0.1360511535	0.2828038625
487	0.1360143522	0.2827113058
488	0.1359595731	0.2825684925
489	0.1359156516	0.2824577972
