iter	Passed	Remaining
796	72758	91564
797	72834	91453
798	72909	91342
799	72986	91233
800	73061	91121
801	73127	90999
802	73202	90887
803	73277	90777
804	73353	90666
805	73426	90553
806	73499	90439
807	73579	90335
808	73656	90226
809	73729	90114
810	73803	90001
811	73879	89892
812	73949	89776
813	74026	89667
814	74099	89556
815	74173	89443
816	74246	89331
817	74320	89221
818	74392	89107
819	74467	88997
820	74540	88885
821	74613	88773
822	74688	88663
823	74764	88556
824	74841	88448
825	74919	88343
826	74994	88233
827	75074	88130
828	75152	88025
829	75224	87913
830	75298	87803
831	75374	87695
832	75472	87613
833	75549	87507
834	75626	87400
835	75705	87297
836	75787	87195
837	75862	87088
838	75936	86978
839	76014	86874
840	76090	86767
841	76162	86654
842	76236	86546
843	76308	86435
844	76397	86343
845	76493	86258
846	76596	86182
847	76680	86084
848	76761	85983
849	76838	85878
850	76918	85775
851	76995	85671
852	77073	85567
853	77150	85461
854	77229	85359
855	77306	85254
856	77381	85146
857	77458	85042
858	77527	84928
859	77600	84819
860	77673	84709
861	77748	84603
862	77825	84499
863	77907	84400
864	77968	84278
865	78040	84168
866	78113	84059
867	78186	83951
868	78260	83844
869	78335	83737
870	78409	83630
871	78482	83523
872	78559	83418
873	78619	83297
874	78679	83175
875	78753	83069
876	78824	82959
877	78898	82852
878	78972	82746
879	79045	82638
880	79120	82532
881	79195	82428
882	79269	82321
883	79344	82217
884	79423	82115
885	79501	82014
886	79583	81916
887	79657	81810
888	79734	81707
889	79814	81608
890	79891	81505
891	79967	81401
892	80047	81302
893	80135	81211
894	80211	81107
895	80289	81005
896	80372	80909
897	80452	80811
898	80528	80707
899	80602	80602
900	80675	80496
901	80763	80404
902	80836	80299
903	80913	80197
904	80993	80098
905	81068	79994
906	81144	79892
907	81225	79794
908	81300	79690
909	81376	79587
910	81452	79485
911	81528	79383
912	81603	79279
913	81679	79176
914	81755	79075
915	81833	78974
916	81911	78874
917	81990	78775
918	82066	78673
919	82141	78569
920	82214	78465
921	82291	78364
922	82370	78265
923	82446	78163
924	82527	78066
925	82603	77964
926	82682	77865
927	82759	77765
928	82822	77651
929	82899	77551
930	82975	77449
931	83050	77347
932	83124	77244
933	83200	77143
934	83275	77041
935	83350	76938
936	83424	76835
937	83501	76735
938	83578	76636
939	83653	76534
940	83731	76435
941	83806	76333
942	83881	76231
943	83955	76129
944	84031	76028
945	84106	75927
946	84186	75829
947	84258	75726
948	84331	75622
949	84409	75524
950	84482	75421
951	84555	75318
952	84641	75227
953	84716	75125
954	84791	75024
955	84866	74923
956	84942	74823
957	85017	74722
958	85093	74623
959	85169	74523
960	85251	74428
961	85324	74326
962	85397	74223
963	85468	74120
964	85545	74021
965	85618	73919
966	85692	73818
967	85768	73718
968	85844	73619
969	85919	73518
970	85994	73418
971	86075	73323
972	86155	73227
973	86231	73128
974	86309	73030
975	86385	72932
976	86459	72831
977	86535	72732
978	86609	72631
979	86686	72533
980	86762	72434
981	86836	72334
982	86909	72232
983	86979	72129
984	87054	72029
985	87136	71936
986	87224	71847
987	87303	71751
988	87400	71670
989	87478	71572
990	87552	71472
991	87631	71377
992	87708	71279
993	87783	71180
994	87856	71079
995	87933	70982
996	88010	70885
997	88086	70786
998	88164	70690
999	88240	70592
1000	88312	70490
1001	88388	70393
1002	88464	70295
1003	88540	70197
1004	88633	70113
1005	88712	70017
1006	88789	69920
1007	88866	69823
1008	88946	69729
1009	89018	69628
1010	89090	69527
1011	89165	69429
1012	89240	69330
1013	89318	69235
1014	89400	69141
1015	89477	69045
1016	89554	68949
1017	89630	68851
1018	89707	68755
1019	89781	68656
1020	89855	68557
1021	89933	68461
1022	90011	68366
1023	90086	68268
1024	90158	68168
1025	90232	68069
1026	90306	67972
1027	90386	67877
1028	90473	67789
1029	90554	67695
1030	90631	67599
1031	90706	67502
1032	90782	67405
1033	90857	67308
1034	90932	67211
1035	91009	67114
1036	91082	67016
1037	91158	66920
1038	91234	66823
1039	91309	66726
1040	91386	66630
1041	91459	66531
1042	91536	66436
1043	91617	66343
1044	91692	66246
1045	91766	66149
1046	91842	66053
1047	91918	65957
1048	92003	65867
1049	92088	65777
1050	92162	65680
1051	92241	65586
1052	92316	65489
1053	92390	65392
1054	92467	65296
1055	92544	65201
1056	92620	65105
1057	92693	65008
1058	92769	64912
1059	92846	64817
1060	92919	64719
1061	92995	64624
1062	93073	64529
1063	93149	64434
1064	93229	64341
1065	93303	64244
1066	93381	64150
1067	93456	64054
1068	93532	63959
1069	93614	63867
1070	93695	63775
1071	93771	63680
1072	93849	63587
1073	93926	63492
1074	93999	63395
1075	94085	63306
1076	94169	63217
1077	94261	63132
1078	94349	63045
1079	94437	62958
1080	94520	62868
1081	94596	62772
1082	94674	62679
1083	94750	62584
1084	94826	62489
1085	94899	62392
1086	94971	62294
1087	95046	62199
1088	95120	62103
1089	95201	62011
1090	95284	61921
1091	95367	61831
1092	95453	61743
1093	95540	61656
1094	95619	61563
1095	95696	61469
1096	95768	61372
1097	95845	61278
1098	95919	61182
1099	95993	61086
1100	96069	60992
1101	96144	60897
1102	96221	60803
1103	96298	60709
1104	96375	60616
1105	96453	60523
1106	96531	60430
1107	96614	60340
1108	96711	60259
1109	96812	60180
1110	96907	60098
1111	97004	60017
1112	97093	59930
1113	97179	59843
1114	97268	59756
1115	97357	59670
1116	97447	59584
1117	97522	59490
1118	97595	59394
1119	97672	59301
1120	97749	59207
1121	97850	59128
1122	97929	59036
1123	98006	58943
1124	98078	58847
1125	98155	58754
1126	98232	58660
1127	98311	58568
1128	98388	58475
1129	98465	58382
1130	98549	58293
1131	98625	58199
1132	98700	58104
1133	98775	58011
1134	98847	57915
1135	98921	57820
1136	98997	57726
1137	99071	57632
1138	99145	57537
1139	99222	57444
1140	99296	57350
1141	99371	57256
1142	99447	57162
1143	99525	57070
1144	99599	56976
1145	99672	56881
1146	99744	56785
1147	99820	56692
1148	99895	56598
1149	99967	56503
1150	100039	56408
1151	100112	56313
1152	100187	56219
1153	100261	56125
1154	100333	56030
1155	100400	55932
1156	100477	55840
1157	100553	55747
1158	100627	55653
1159	100703	55560
1160	100775	55465
1161	100851	55372
1162	100924	55278
1163	101000	55185
1164	101073	55091
1165	101143	54995
1166	101225	54906
1167	101306	54816
1168	101381	54723
1169	101461	54632
1170	101553	54549
1171	101638	54461
1172	101723	54374
1173	101802	54283
1174	101883	54193
1175	101962	54102
1176	102051	54017
1177	102128	53925
1178	102206	53833
1179	102283	53742
1180	102366	53653
1181	102442	53561
1182	102523	53471
1183	102604	53381
1184	102692	53296
1185	102770	53205
1186	102848	53113
1187	102924	53021
1188	102999	52928
1189	103073	52836
1190	103163	52751
1191	103243	52660
1192	103324	52571
1193	103405	52482
1194	103483	52391
1195	103556	52297
1196	103633	52206
1197	103712	52115
1198	103789	52024
1199	103871	51935
1200	103952	51846
1201	104032	51756
1202	104108	51665
1203	104184	51573
1204	104259	51480
1205	104331	51387
1206	104405	51294
1207	104482	51203
1208	104551	51108
1209	104616	51011
1210	104693	50920
1211	104768	50828
1212	104842	50736
1213	104918	50644
1214	104989	50550
1215	105070	50461
1216	105143	50368
1217	105218	50276
1218	105291	50184
1219	105362	50090
1220	105437	49998
1221	105514	49907
1222	105586	49814
1223	105655	49720
1224	105727	49627
1225	105800	49534
1226	105871	49441
1227	105943	49348
1228	106010	49253
1229	106080	49159
1230	106154	49067
1231	106227	48974
1232	106300	48882
1233	106382	48794
1234	106456	48702
1235	106531	48611
1236	106604	48519
1237	106676	48426
1238	106749	48334
1239	106822	48242
1240	106895	48150
1241	106968	48058
1242	107041	47966
1243	107120	47877
1244	107201	47788
1245	107281	47699
1246	107357	47609
1247	107433	47518
1248	107507	47427
1249	107580	47335
1250	107652	47243
1251	107729	47153
1252	107802	47061
1253	107877	46970
1254	107956	46881
1255	108028	46789
1256	108097	46695
1257	108169	46603
1258	108241	46511
1259	108313	46419
1260	108385	46327
1261	108454	46234
1262	108526	46142
1263	108600	46052
1264	108671	45959
1265	108743	45868
1266	108813	45775
1267	108885	45683
1268	108959	45592
1269	109033	45502
1270	109103	45409
1271	109178	45319
1272	109261	45232
1273	109342	45144
1274	109417	45054
1275	109486	44961
1276	109560	44870
1277	109632	44779
1278	109703	44687
1279	109774	44595
1280	109846	44504
1281	109919	44413
1282	109993	44323
1283	110065	44231
1284	110138	44141
1285	110209	44049
1286	110281	43958
1287	110354	43867
1288	110425	43776
1289	110501	43686
1290	110575	43596
1291	110645	43504
1292	110720	43414
1293	110792	43323
1294	110862	43232
1295	110937	43142
1296	111008	43051
1297	111079	42959
1298	111153	42869
1299	111225	42778
1300	111302	42690
1301	111380	42601
1302	111485	42523
1303	111588	42444
1304	111727	42379
1305	111853	42308
1306	112018	42253
1307	112173	42193
1308	112275	42113
1309	112359	42027
1310	112433	41937
1311	112521	41852
1312	112600	41764
1313	112677	41675
1314	112753	41585
1315	112831	41497
1316	112906	41407
1317	112982	41318
1318	113058	41229
1319	113126	41136
1320	113202	41047
1321	113274	40957
1322	113346	40866
1323	113417	40775
1324	113492	40686
1325	113565	40595
1326	113633	40503
1327	113705	40413
1328	113775	40322
1329	113850	40232
1330	113921	40142
1331	113991	40050
1332	114078	39966
1333	114157	39878
1334	114236	39790
1335	114326	39706
1336	114426	39625
1337	114515	39541
1338	114595	39453
1339	114681	39368
1340	114756	39279
1341	114830	39189
1342	114915	39103
1343	114998	39017
1344	115071	38927
1345	115150	38839
1346	115226	38751
1347	115305	38663
1348	115380	38574
1349	115459	38486
1350	115547	38401
1351	115619	38311
1352	115692	38222
1353	115768	38133
1354	115840	38043
1355	115916	37955
1356	115994	37866
1357	116066	37777
1358	116140	37688
1359	116220	37600
1360	116297	37512
1361	116373	37424
1362	116444	37333
1363	116516	37244
1364	116594	37156
1365	116666	37066
1366	116742	36978
1367	116816	36889
1368	116899	36803
1369	116982	36717
1370	117062	36629
1371	117143	36543
1372	117236	36460
1373	117315	36372
1374	117389	36283
1375	117473	36198
1376	117552	36110
1377	117624	36021
1378	117699	35932
1379	117774	35844
1380	117851	35756
1381	117925	35667
1382	117999	35579
1383	118073	35490
1384	118151	35402
1385	118222	35313
1386	118299	35225
1387	118382	35139
1388	118455	35050
1389	118528	34961
1390	118600	34872
1391	118676	34784
1392	118750	34695
1393	118828	34608
1394	118905	34520
1395	118980	34432
1396	119056	34344
1397	119132	34257
1398	119209	34169
1399	119292	34083
1400	119385	34000
1401	119460	33912
1402	119534	33824
1403	119608	33735
1404	119683	33647
1405	119759	33560
1406	119835	33472
1407	119910	33384
1408	119985	33296
1409	120062	33208
1410	120136	33120
1411	120212	33032
1412	120291	32946
1413	120368	32858
1414	120448	32772
1415	120526	32685
1416	120607	32598
1417	120681	32510
1418	120755	32422
1419	120832	32335
1420	120907	32247
1421	120989	32161
1422	121063	32073
1423	121137	31985
1424	121211	31897
1425	121287	31810
1426	121363	31722
1427	121438	31635
1428	121515	31548
1429	121592	31461
1430	121671	31374
1431	121743	31286
1432	121824	31200
1433	121903	31113
1434	121978	31025
1435	122052	30938
1436	122130	30851
1437	122206	30764
1438	122282	30676
1439	122356	30589
1440	122434	30502
1441	122511	30415
1442	122589	30328
1443	122664	30241
1444	122740	30154
1445	122814	30066
1446	122891	29979
1447	122968	29892
1448	123041	29805
1449	123116	29717
1450	123192	29630
1451	123265	29542
1452	123343	29456
1453	123417	29368
1454	123491	29281
1455	123571	29195
1456	123655	29110
1457	123732	29023
1458	123808	28936
1459	123880	28848
1460	123954	28761
1461	124029	28674
1462	124117	28590
1463	124191	28503
1464	124272	28417
1465	124347	28330
1466	124420	28242
1467	124494	28155
1468	124568	28068
1469	124643	27981
1470	124715	27893
1471	124787	27805
1472	124858	27718
1473	124936	27631
1474	125005	27543
1475	125075	27455
1476	125147	27368
1477	125221	27281
1478	125296	27194
1479	125371	27107
1480	125445	27020
1481	125517	26932
1482	125589	26845
1483	125662	26758
1484	125738	26671
1485	125814	26585
1486	125893	26499
1487	125968	26412
1488	126041	26325
1489	126119	26239
1490	126194	26152
1491	126268	26066
1492	126342	25979
1493	126416	25892
1494	126486	25804
1495	126574	25721
1496	126645	25633
1497	126719	25546
1498	126792	25460
1499	126865	25373
1500	126948	25288
1501	127029	25202
1502	127104	25116
1503	127186	25031
1504	127277	24948
1505	127354	24862
1506	127434	24776
1507	127505	24689
1508	127577	24602
1509	127654	24516
1510	127728	24429
1511	127805	24343
1512	127880	24257
1513	127956	24171
1514	128032	24085
1515	128102	23998
1516	128174	23911
1517	128245	23824
1518	128320	23738
1519	128395	23651
1520	128469	23565
1521	128542	23478
1522	128615	23392
1523	128694	23306
1524	128765	23220
1525	128842	23134
1526	128934	23051
1527	129005	22964
1528	129078	22877
1529	129154	22792
1530	129231	22706
1531	129306	22620
1532	129383	22534
1533	129457	22448
1534	129541	22363
1535	129618	22278
1536	129693	22192
1537	129768	22106
1538	129844	22020
1539	129925	21935
1540	130001	21849
1541	130077	21763
1542	130166	21680
1543	130240	21594
1544	130317	21508
1545	130397	21423
1546	130478	21338
1547	130559	21253
1548	130641	21169
1549	130720	21083
1550	130800	20998
1551	130878	20913
1552	130956	20828
1553	131030	20742
1554	131106	20656
1555	131186	20571
1556	131267	20486
1557	131345	20401
1558	131450	20320
1559	131544	20237
1560	131624	20152
1561	131705	20067
1562	131784	19982
1563	131865	19897
1564	131941	19812
1565	132022	19727
1566	132100	19642
1567	132176	19556
1568	132253	19471
1569	132330	19386
1570	132409	19300
1571	132493	19216
1572	132572	19131
1573	132652	19046
1574	132731	18961
1575	132810	18876
1576	132904	18793
1577	132982	18708
1578	133061	18623
1579	133136	18537
1580	133212	18452
1581	133290	18367
1582	133367	18282
1583	133444	18196
1584	133521	18111
1585	133602	18027
1586	133683	17942
1587	133765	17857
1588	133843	17772
1589	133924	17688
1590	134004	17603
1591	134083	17518
1592	134168	17434
1593	134245	17349
1594	134324	17264
1595	134403	17179
1596	134479	17094
1597	134558	17009
1598	134639	16924
1599	134721	16840
1600	134804	16755
1601	134892	16672
1602	134977	16588
1603	135061	16503
1604	135148	16419
1605	135230	16335
1606	135312	16250
1607	135394	16166
1608	135475	16081
1609	135564	15998
1610	135642	15913
1611	135723	15828
1612	135797	15743
1613	135876	15658
1614	135954	15573
1615	136032	15488
1616	136109	15403
1617	136188	15319
1618	136265	15234
1619	136346	15149
1620	136425	15064
1621	136500	14979
1622	136577	14894
1623	136660	14810
1624	136737	14725
1625	136818	14641
1626	136897	14556
1627	136976	14471
1628	137053	14386
1629	137131	14302
1630	137215	14217
1631	137294	14133
1632	137380	14049
1633	137457	13964
1634	137536	13879
1635	137614	13795
1636	137690	13710
1637	137771	13625
1638	137848	13540
1639	137934	13457
1640	138015	13372
1641	138095	13288
1642	138173	13203
1643	138260	13119
1644	138346	13035
1645	138433	12951
1646	138524	12868
1647	138613	12784
1648	138691	12700
1649	138773	12615
1650	138850	12530
1651	138928	12446
1652	139006	12361
1653	139093	12277
1654	139176	12193
1655	139259	12109
1656	139339	12025
1657	139424	11941
1658	139499	11856
1659	139575	11771
1660	139653	11686
1661	139735	11602
1662	139810	11517
